Date,prediction,weight_x,weight_y,share_ratio_x_per_y,sigma_daily,correlation,volatility_ratio,last_label_index,training_samples,z,var_x,var_y,covariance
2015-05-12,,0.4,0.6,0.8337670083985929,0.005047608287817894,0.5719052720547964,,-1,0,,0.0001771884155444077,8.633787379967477e-05,7.073631589112554e-05
2015-05-13,,0.4,0.6,0.8159161241985868,0.005252610089100672,0.5385602524504207,,-1,0,,0.00018592169808114028,8.345169585770449e-05,6.70836863617373e-05
2015-05-14,,0.4,0.6,0.8111908194986868,0.005176643071637933,0.5377434222944617,,-1,0,,0.00018098591623265676,8.059322972731807e-05,6.494515793317204e-05
2015-05-15,,0.4,0.6,0.8137833860442927,0.005097370119583035,0.5363392266848974,,-1,0,,0.00017480580700138685,7.797270073981932e-05,6.26164984386227e-05
2015-05-18,,0.4,0.6,0.8239345573317153,0.0050448209152086695,0.5556154369685792,,-1,0,,0.00018316617372253862,7.762177108510711e-05,6.625043191607898e-05
2015-05-19,,0.4,0.6,0.8331138920031742,0.004979617628961499,0.5737085419124465,,-1,0,,0.0001890892024789315,7.735203683269563e-05,6.938419567861526e-05
2015-05-20,,0.4,0.6,0.8361979848569356,0.004897183145504149,0.5737616720881498,,-1,0,,0.00018309986803040744,7.472362739083222e-05,6.711267080198936e-05
2015-05-21,,0.4,0.6,0.8341328725751387,0.004812915656032339,0.5847967830853338,,-1,0,,0.00018110328685531826,7.430770063372812e-05,6.783987711023302e-05
2015-05-22,,0.4,0.6,0.8353130991582437,0.004735489122409215,0.5919898899592964,,-1,0,,0.0001772899856568073,7.375446563873785e-05,6.769405855537251e-05
2015-05-26,,0.4,0.6,0.8172231792020785,0.005231676180773702,0.529946177036936,,-1,0,,0.00017136169029945516,8.52931102352671e-05,6.406865515027933e-05
2015-05-27,,0.4,0.6,0.818035425921747,0.005143954930315967,0.5300177804475659,,-1,0,,0.00016555207808680283,8.252261253880252e-05,6.195041808903213e-05
2015-05-28,,0.4,0.6,0.830810356546826,0.00519907729192932,0.5113487526345541,,-1,0,,0.00016567048513536033,7.989158552331439e-05,5.882884108874108e-05
2015-05-29,,0.4,0.6,0.8216503862253893,0.00522777869895931,0.4954087184045603,,-1,0,,0.00016071571064225353,7.884120063171476e-05,5.5765991260177476e-05
2015-06-01,,0.4,0.6,0.8252123229098199,0.005142654195824056,0.4975626020586253,,-1,0,,0.00015677905767180728,7.638244509818436e-05,5.444882767710162e-05
2015-06-02,,0.4,0.6,0.8305135257575867,0.005127818930564795,0.4999283384695178,,-1,0,,0.00015230864068340418,7.800195379384484e-05,5.4490747688479464e-05
2015-06-03,,0.4,0.6,0.8377448505582282,0.0050819619411973885,0.49407878406204914,,-1,0,,0.0001486519064863032,7.54300466963244e-05,5.2318301409805354e-05
2015-06-04,,0.4,0.6,0.8530001183891824,0.00505535655779221,0.5411889107357619,,-1,0,,0.00017242479193328201,7.80860949048786e-05,6.27965228097265e-05
