id,model,window,process_variance,entry,exit,stop,holding,reverting_only,cost_buffer,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_commission,train_slippage,train_borrow,train_dividends_net,train_max_gross,train_max_abs_net
221,kalman,120,1e-07,2.5,0.5,4.0,10,True,1.5,0.004468377398689993,100446.837739869,-0.0030452112942345178,0.5721484943149133,4,36.09184209180832,32.17861201705933,47.97117461343006,0.0,21265.87969970703,632.5206260681152
222,kalman,120,1e-07,2.5,0.5,4.0,30,False,1.5,0.005222739723944381,100522.27397239444,-0.006171381903519069,0.3136627961091942,5,47.01621610168457,40.19696378288269,153.43404561212617,0.0,21910.079990386963,954.4801292419434
223,kalman,120,1e-07,2.5,0.5,4.0,30,True,1.5,0.0028148625337307553,100281.48625337308,-0.004830847770102231,0.2433247791852261,4,36.037766095047,32.01253189430237,105.54364692557346,0.0,21680.91999053955,829.2003936767578
224,kalman,120,1e-05,1.0,0.1,4.0,10,False,1.5,0.008637967582029393,100863.79675820294,-0.012878135136150548,0.28712980994478704,78,705.6250420157053,627.1126147769929,621.5860803810539,45.05999999999996,21230.76932144165,610.3393917083758
225,kalman,120,1e-05,1.0,0.1,4.0,10,True,1.5,0.00815975815257608,100815.97581525761,-0.009199645464405548,0.31943245247742263,42,380.3215044462013,338.0204018112182,396.1336358155032,-67.83600000000004,20948.470085144043,578.2293891906756
226,kalman,120,1e-05,1.0,0.1,4.0,30,False,1.5,0.012440349033563392,101244.03490335634,-0.013869502059823291,0.3904950050966791,60,547.8288285902785,485.5312150642392,695.2834170335218,40.180999999999955,21344.700073242188,725.249677658081
227,kalman,120,1e-05,1.0,0.1,4.0,30,True,1.5,0.006921770233989211,100692.17702339892,-0.011866794765590938,0.2608638459983965,35,317.94666886289593,281.4568900569915,463.0876591211605,-72.13900000000004,20948.470085144043,667.4700927734393
228,kalman,120,1e-05,1.0,0.5,4.0,10,False,1.5,0.008709267436940893,100870.92674369409,-0.012142678242208715,0.29855242712394786,88,798.2635983832547,707.9839315795895,542.2787120609026,-67.44800000000002,21024.26008605957,610.3393917083758
229,kalman,120,1e-05,1.0,0.5,4.0,10,True,1.5,0.0037862650535864795,100378.62650535865,-0.007783376502007999,0.1614353952527258,43,390.31114038141266,344.3817863403321,319.37462709327576,-67.73299999999999,20948.470085144043,578.2293891906756
230,kalman,120,1e-05,1.0,0.5,4.0,30,False,1.5,0.013781281483468133,101378.1281483468,-0.011997097832646242,0.4562057429625076,75,683.2446077972598,606.0646378787993,580.3940293323559,-69.49900000000001,21276.680072784424,685.9200935363788
231,kalman,120,1e-05,1.0,0.5,4.0,30,True,1.5,0.0013135446770855541,100131.35446770856,-0.011563558725093293,0.05679141107176576,38,345.20539279056544,303.832434339905,350.16137666984434,-66.79400000000001,20878.970085144043,671.5500926971454
232,kalman,120,1e-05,1.5,0.1,4.0,10,False,1.5,0.00397920505200422,100397.92050520043,-0.013078958478797809,0.16025783491120366,41,375.53009800909047,330.1339452781677,390.5850000354296,157.36200000000002,21189.659322738647,591.7293910980243
233,kalman,120,1e-05,1.5,0.1,4.0,10,True,1.5,0.0006003193085108993,100060.03193085108,-0.010639080390522526,0.04102407033914582,16,146.10504916582104,128.50051392478943,166.07060351630437,0.0,20662.889812469482,494.34021949768066
234,kalman,120,1e-05,1.5,0.1,4.0,30,False,1.5,0.011082812762217564,101108.28127622175,-0.009720939496115855,0.4076713609879369,35,323.43782742984774,283.4078137805939,477.7795027796077,43.47999999999995,21276.680072784424,651.1500930786151
235,kalman,120,1e-05,1.5,0.1,4.0,30,True,1.5,0.004287488851486332,100428.74888514864,-0.007786191364090422,0.24437651148957315,15,136.84363868331909,120.64134201583865,235.6069428987373,-114.02799999999999,20884.940071105957,519.5694885253924
236,kalman,120,1e-05,1.5,0.5,4.0,10,False,1.5,0.006981907593901049,100698.1907593901,-0.011189640654069577,0.29170103696638794,45,413.80057059337605,362.45255827064506,345.17731693079713,44.372999999999976,21072.690086364746,596.8393898010272
237,kalman,120,1e-05,1.5,0.5,4.0,10,True,1.5,-0.0032603434409770315,99673.9656559023,-0.012629993939489936,-0.2147945628169666,17,154.26621466846467,135.79415172271726,146.19326176416055,0.0,20482.6007232666,494.34021949768066
238,kalman,120,1e-05,1.5,0.5,4.0,30,False,1.5,0.010542987029416029,101054.2987029416,-0.010329167417891583,0.41694072368280577,40,369.76172892526637,323.2051885742187,385.9541928829038,43.90099999999997,21276.680072784424,651.1500930786151
239,kalman,120,1e-05,1.5,0.5,4.0,30,True,1.5,0.002117338548459635,100211.73385484597,-0.007300887178308124,0.13216594382983432,16,145.30106678012845,128.28167603950502,177.42188004135764,0.0,20816.920070648193,514.0200901031512
240,kalman,120,1e-05,2.0,0.1,4.0,10,False,1.5,-0.001282043378481812,99871.79566215182,-0.01060667229780421,-0.07700807152563385,19,173.5231652750588,152.76608392257688,182.51381301576785,0.0,21148.549324035645,538.7802181243896
241,kalman,120,1e-05,2.0,0.1,4.0,10,True,1.5,0.0018981203104968536,100189.81203104967,-0.0034000789494870176,0.17488042732187212,8,75.08813402584076,64.29461418914795,73.33599771285382,0.0,20554.28934288025,440.7599792480469
242,kalman,120,1e-05,2.0,0.1,4.0,30,False,1.5,0.005360167400247695,100536.01674002476,-0.007204208229071973,0.2937489371283043,17,155.78873676691057,137.20947585105898,257.30258609923266,-115.421,21148.549324035645,571.3200912475604
243,kalman,120,1e-05,2.0,0.1,4.0,30,True,1.5,0.005734178876415141,100573.41788764152,-0.0034831005080541155,0.48447076466879146,7,65.71860841106414,56.465912009429935,101.30628239822386,-114.092,20723.080070495605,511.6594924926776
244,kalman,120,1e-05,2.0,0.5,4.0,10,False,1.5,0.0005549354801932527,100055.49354801932,-0.009311986435340813,0.03755062848028962,19,173.52947138772967,152.2862757938385,152.07091758289064,0.0,20980.150148391724,538.7802181243896
245,kalman,120,1e-05,2.0,0.5,4.0,10,True,1.5,0.0027078148576067385,100270.78148576067,-0.0034015795878562516,0.2723333387933602,8,75.02170443357468,64.19506216583252,61.65315678907419,0.0,20518.31941986084,440.7599792480469
246,kalman,120,1e-05,2.0,0.5,4.0,30,False,1.5,0.0060264746621256915,100602.64746621257,-0.00475346463698012,0.3643762592036378,17,155.81248618263248,136.8852137363434,177.66499431453346,0.0,20980.150148391724,575.4000911712665
247,kalman,120,1e-05,2.0,0.5,4.0,30,True,1.5,0.005072629365172832,100507.26293651728,-0.0034856928955143696,0.47912815745238785,7,65.67552781997681,56.33344204864502,72.03918217614579,0.0,20723.080070495605,511.6594924926776
248,kalman,120,1e-05,2.5,0.1,4.0,10,False,1.5,-0.004476551095646042,99552.3448904354,-0.005650426795010377,-0.5548626215503933,6,51.86292620271682,47.69657184944153,60.316545426616926,0.0,20204.309900283813,532.010217666626
249,kalman,120,1e-05,2.5,0.1,4.0,10,True,1.5,0.0005331066009635066,100053.31066009635,-0.0008033534143673249,0.18214544195685345,1,8.763030099773406,7.890773983001709,11.505605706149584,0.0,20005.83020210266,270.6101322174072
250,kalman,120,1e-05,2.5,0.1,4.0,30,False,1.5,-0.0025064331595155975,99749.35668404844,-0.005140950120576915,-0.2419920291118972,6,51.87047237911224,47.72645372428894,103.79437588636843,-113.142,20407.209829330444,532.010217666626
251,kalman,120,1e-05,2.5,0.1,4.0,30,True,1.5,0.0006396722354116147,100063.96722354116,-0.0013768741278579189,0.17650050351804045,1,8.769762696628572,7.976583940124511,20.5465044375903,0.0,20049.650331497192,282.7395362854022
252,kalman,120,1e-05,2.5,0.5,4.0,10,False,1.5,-0.003192607290493421,99680.73927095065,-0.0042893508400317915,-0.4322813191801634,6,51.86225958110809,47.66530786705017,43.832566889880454,0.0,20202.439949035645,532.010217666626
253,kalman,120,1e-05,2.5,0.5,4.0,10,True,1.5,0.00012164224341315588,100012.16422434132,-0.0008867478188241407,0.04121557729753944,1,8.767564298725128,7.959773904800415,9.85882846163397,0.0,20005.83020210266,270.6101322174072
254,kalman,120,1e-05,2.5,0.5,4.0,30,False,1.5,-0.001130387057369564,99886.96129426305,-0.002949042165396487,-0.14027397732163963,6,51.95786557815551,47.83090380973816,49.769431359382516,0.0,20252.25994873047,532.010217666626
255,kalman,120,1e-05,2.5,0.5,4.0,30,True,1.5,0.00012164224341315588,100012.16422434132,-0.0008867478188241407,0.04121557729753944,1,8.767564298725128,7.959773904800415,9.85882846163397,0.0,20005.83020210266,270.6101322174072
256,kalman,120,0.001,1.0,0.1,4.0,10,False,1.5,0.012104489204141089,101210.44892041411,-0.010765293901995876,0.4260373046122803,169,1544.5661149571627,1372.7366146106713,508.9731073881179,-87.86600000000003,21027.459838867188,482.4994354248047
257,kalman,120,0.001,1.0,0.1,4.0,10,True,1.5,0.009316632396875635,100931.66323968756,-0.005008159176360438,0.6375261028077522,40,365.97454605609886,322.3685808250427,105.9632481469455,-67.53,20655.72989654541,352.59943771362305
258,kalman,120,0.001,1.0,0.1,4.0,30,False,1.5,0.013891374211550067,101389.13742115501,-0.011022199850546865,0.5342409617645016,133,1232.012239680958,1081.4693534828189,413.64496877461306,-19.614000000000004,21004.630027770996,482.4994354248047
259,kalman,120,0.001,1.0,0.1,4.0,30,True,1.5,0.010710218830729756,101071.02188307297,-0.0027171480276039217,0.8964197505018617,24,226.6855918272782,193.23222047538758,54.07974622904111,0.0,20540.739854812622,352.59943771362305
260,kalman,120,0.001,1.0,0.5,4.0,10,False,1.5,0.008360148099122,100836.0148099122,-0.012134644267901451,0.3319300880163102,188,1713.8898752060695,1525.8503758716577,411.6129853816098,-252.43300000000005,21004.630027770996,482.4994354248047
261,kalman,120,0.001,1.0,0.5,4.0,10,True,1.5,0.01166111555705629,101166.11155570562,-0.003717359128028841,0.8648705996563658,40,366.6753168448448,323.00157867698664,89.39315349369834,-68.048,20707.299896240234,352.59943771362305
262,kalman,120,0.001,1.0,0.5,4.0,30,False,1.5,0.013707055541932744,101370.70555419328,-0.009677033793973555,0.5919883763159981,146,1350.9426660201261,1187.4172431587212,331.7337514412239,-184.05300000000003,21004.630027770996,482.4994354248047
263,kalman,120,0.001,1.0,0.5,4.0,30,True,1.5,0.010938778557286533,101093.87785572864,-0.0028869338583816795,0.960423048063731,24,226.86470491682059,193.35043217277521,47.40726467388623,0.0,20540.739854812622,352.59943771362305
264,kalman,120,0.001,1.5,0.1,4.0,10,False,1.5,0.015957799252548366,101595.77992525484,-0.008594673231991035,0.8020612859912728,87,795.4355706697652,707.9471436050416,247.17298629436755,44.008999999999986,20993.35939025879,476.7194366455078
265,kalman,120,0.001,1.5,0.1,4.0,10,True,1.5,4.62334555706434e-05,100004.62334555706,-0.0023496236800287784,0.009266939034386378,10,89.66062697795867,79.96804820327759,27.30549345235955,0.0,20281.320236206055,275.84922981262207
266,kalman,120,0.001,1.5,0.1,4.0,30,False,1.5,0.015957799252548366,101595.77992525484,-0.008594673231991035,0.8020612859912728,87,795.4355706697652,707.9471436050416,247.17298629436755,44.008999999999986,20993.35939025879,476.7194366455078
267,kalman,120,0.001,1.5,0.1,4.0,30,True,1.5,4.62334555706434e-05,100004.62334555706,-0.0023496236800287784,0.009266939034386378,10,89.66062697795867,79.96804820327759,27.30549345235955,0.0,20281.320236206055,275.84922981262207
268,kalman,120,0.001,1.5,0.5,4.0,10,False,1.5,0.010848286926715689,101084.82869267157,-0.007325283752304235,0.5985009628292544,91,828.3562936415676,738.0216591217043,206.77751719336297,-119.96300000000004,20885.16939353943,476.7194366455078
269,kalman,120,0.001,1.5,0.5,4.0,10,True,1.5,-0.0008325224896713612,99916.74775103286,-0.0023482872190674353,-0.1717016621330311,10,89.7048690583229,79.90985194511416,22.31502392013759,0.0,20281.320236206055,275.84922981262207
270,kalman,120,0.001,1.5,0.5,4.0,30,False,1.5,0.010848286926715689,101084.82869267157,-0.007325283752304235,0.5985009628292544,91,828.3562936415676,738.0216591217043,206.77751719336297,-119.96300000000004,20885.16939353943,476.7194366455078
271,kalman,120,0.001,1.5,0.5,4.0,30,True,1.5,-0.0008325224896713612,99916.74775103286,-0.0023482872190674353,-0.1717016621330311,10,89.7048690583229,79.90985194511416,22.31502392013759,0.0,20281.320236206055,275.84922981262207
272,kalman,120,0.001,2.0,0.1,4.0,10,False,1.5,0.005502735368425382,100550.27353684253,-0.005470864717961099,0.3883993741232747,40,359.8810419065092,322.12110960159305,112.99273764430004,-118.64400000000002,20752.329397201538,479.57944107055664
